time,u,Y_sys,vel,acc
0.0,4.20460745690218,-0.9996034167244353,0.007935995059879339,1.5871990119758679
0.005,3.7637128030624716,-0.9990392363171289,0.013900253034189694,1.1928515948620708
0.01,3.46118346523481,-0.9982582598861847,0.01924166430325524,1.0682822538131092
0.015,3.089997282114167,-0.9972906463008974,0.023840022625081163,0.9196716643651844
0.02,2.8243345796229873,-0.9961583173670844,0.02789827242154958,0.8116499592936838
0.025,2.720141542386135,-0.9948708499077011,0.031720568858736906,0.7644592874374644
0.03,2.7492958552377535,-0.993427717048406,0.035555846403683804,0.767055508989379
0.035,2.8322863697851997,-0.9918243597601762,0.039503449113047616,0.789520541872762
0.04,2.3810283430997483,-0.9900963371861451,0.04257494715653902,0.6142996086982814
0.045,1.544175518080685,-0.9883077481983182,0.04406717990023388,0.29844654873897236
0.05,0.8008406254797684,-0.9865149919332195,0.04416985310155913,0.02053464026504989
0.055,0.37577941427790407,-0.9847499931673955,0.04348596500739552,-0.13677761883272227
0.06,0.27554589927192197,-0.9830199725945269,0.042624173767465405,-0.17235824798602398
0.065,0.38665418976120947,-0.9813162227232303,0.04197691733227567,-0.12945128703794814
0.07,0.5717354624752407,-0.9796245811402189,0.04167859383717519,-0.05966469902009508
0.075,0.7300449384218055,-0.97793304487065,0.04167599912902707,-0.0005189416296239036
0.08,0.8168560756351795,-0.976235101829527,0.04183384889584293,0.03156995336317117
0.085,0.8338295991603566,-0.9745295475210035,0.042021374980420516,0.037505216915517364
0.09,0.8070147549913536,-0.9728184745250892,0.04215734416715044,0.027193837345985156
0.095,0.7662402872671716,-0.9711050000259968,0.0422165123009663,0.011833626763171456
0.1,0.7326264860989955,-0.9693916707987879,0.04221293309844115,-0.0007158405050291805
0.105,0.7149954730901076,-0.9676798076402394,0.04217681216073774,-0.007224187540682603
0.11,0.7123114147713139,-0.965969596173879,0.04213611783840514,-0.008138864466519874
0.115,0.7186934483317167,-0.9642605400676137,0.04210765212520394,-0.005693142640239318
0.12,0.7276486462822298,-0.962551955308355,0.04209603909757583,-0.0023226055256222178
0.125,0.7347471968190327,-0.9608433044520751,0.04209766759318977,0.00032569912278854196
0.13,0.7383227347494739,-0.9591343200354976,0.042105885837705276,0.001643648903100231
0.135,0.7386734535053243,-0.9574249793227942,0.04211466424659904,0.0017556817787533485
0.14,0.7371943527780385,-0.9557153970604287,0.042120615536967596,0.0011902580737103152
0.145,0.7352249779418649,-0.9540057235385094,0.04212286398599765,0.00044968980600995634
0.15,0.7337368180942327,-0.9522960713474687,0.042122338436712786,-0.00010510985697234632
0.155,0.7330264592655524,-0.9505864935370182,0.042120505850875,-0.0003665171675581169
0.16,0.7329734555879597,-0.9488769932867523,0.04211859492632135,-0.00038218491073049865
0.165,0.7333302726741469,-0.9471675430051111,0.042117363801461694,-0.0002462249719309695
0.17,0.7337434773039089,-0.9454581111665751,0.042116909401011156,-9.088009010710385e-05
0.175,0.7340743458136494,-0.9437486727582249,0.04211707126781605,3.237336097930421e-05
0.18,0.7342054645711062,-0.9420392180162548,0.04211747369485661,8.0485408111175e-05
0.185,0.734217712919186,-0.9403297461967653,0.04211789445005384,8.415103944539593e-05
0.19,0.7341434608057558,-0.9386202630514733,0.04211817349470135,5.580892950315941e-05
0.195,0.7340493002500015,-0.9369107757637221,0.042118275556434055,2.0412346541126558e-05
0.2,0.7339601674353577,-0.9352012910629169,0.042118211819364315,-1.2747413947550301e-05
0.205,0.7339238257359924,-0.9334918116470607,0.04211808160901909,-2.604206904607831e-05
0.21,0.7339290552520978,-0.9317823370673914,0.04211796245524896,-2.383075402637158e-05
0.215,0.7339911432288773,-0.9300728626154832,0.042117959307477276,-6.295543369672085e-07
0.22,0.7339892856066133,-0.9283633884292934,0.042117952760715574,-1.3093523404672514e-06
0.225,0.7339895319502165,-0.9266539144875033,0.042117946739207865,-1.2043015416574043e-06
0.23,0.7340271421773767,-0.9249444379666778,0.04211801028137306,1.270843303916025e-05
0.235,0.7339991100454384,-0.9232349609968582,0.04211802134367127,2.2124596413264364e-06
0.24,0.7339816972201003,-0.9215254848888346,0.04211800011077808,-4.246578639260923e-06
0.245,0.7340126043180355,-0.919816007315311,0.04211803621770578,7.221385540462366e-06
0.25,0.733986194251683,-0.9181065302727582,0.04211802313566616,-2.6164079240387217e-06
0.255,0.7339743099638003,-0.9163970546468344,0.04211798823282536,-6.980568160758205e-06
0.26,0.7339745432746749,-0.914687580404885,0.04211795413452146,-6.819660779672221e-06
0.265,0.7340175468661858,-0.9129781043067733,0.04211799986656795,9.146409297694502e-06
